Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,C96446
C2,0603,1,100n,C14663
C3,1206,1,22uF,C12891
C4,1206,1,22uF,C12891
C5,0603,1,100n,C14663
C6,0603,1,10uF,C96446
C7,1206,1,22uF,C12891
C8,1206,1,22uF,C12891
D4,D_SMA,1,SS34,C8678
IC1,SOT95P280X145-6N,1,FS312F-G,C82736
IC2,SOT95P237X112-3N,1,AO3401A,C15127
IC3,SOT95P280X145-5N,1,LM321MF,C668208
IC4,SOT95P280X145-6N,1,MT3608,C84817
J1,SOIC127P600X175-9N,1,TP4056,C16581
L1,L_12x12mm_H6mm,1,22uH,C2929501
Q1,SOP65P640X120-8N,1,FS8205A,C16052
R1,0603,1,2k,C22975
R10,0603,1,4.99M,C158914
R11,0603,1,1k,C21190
R13,0603,1,7.5k,C5140717
R14,0603,1,10k,C25804
R15,0603,1,1k,C21190
R2,0603,1,100,C22775
R3,0603,1,1k,C21190
R4,0603,1,1k,C21190
R5,0603,1,1k,C21190
R6,0603,1,4.99M,C158914
R7,0603,1, 7.5k,C5140717
R8,0603,1,10k,C25804
R9,0603,1,10M,C2907090
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
